Date,Price,Open,High,Low,Vol.,Change %,Company,Year,Month,Day,Spread
2024-06-20,186.1,182.91,186.51,182.72,44730000.0,1.8,0,2024,6,20,3.789999999999992
2024-06-20,176.3,175.37,177.29,174.99,20160000.0,0.69,1,2024,6,20,2.299999999999983
2024-06-20,501.7,502.0,503.67,496.77,11800000.0,0.44,2,2024,6,20,6.900000000000034
2024-06-20,445.7,446.3,446.53,441.27,19880000.0,-0.14,3,2024,6,20,5.259999999999991
2024-06-21,189.08,187.8,189.27,185.86,72930000.0,1.6,0,2024,6,21,3.4099999999999966
2024-06-21,179.63,177.0,180.85,176.61,58580000.0,1.89,1,2024,6,21,4.239999999999981
2024-06-21,494.78,503.45,503.45,492.39,23130000.0,-1.38,2,2024,6,21,11.060000000000002
2024-06-21,449.78,447.38,450.58,446.51,34490000.0,0.92,3,2024,6,21,4.069999999999993
2024-06-24,185.57,189.33,191.0,185.33,50610000.0,-1.86,0,2024,6,24,5.6699999999999875
2024-06-24,179.22,180.16,180.89,178.67,18300000.0,-0.23,1,2024,6,24,2.219999999999999
2024-06-24,498.91,499.2,507.8,494.29,13530000.0,0.83,2,2024,6,24,13.509999999999991
2024-06-24,447.67,449.8,452.75,446.41,15910000.0,-0.47,3,2024,6,24,6.339999999999975
2024-06-25,186.34,186.81,188.84,185.42,45900000.0,0.41,0,2024,6,25,3.420000000000016
2024-06-25,184.03,179.62,184.29,179.42,23240000.0,2.68,1,2024,6,25,4.8700000000000045
2024-06-25,510.6,497.05,510.71,495.5,12110000.0,2.34,2,2024,6,25,15.20999999999998
2024-06-25,450.95,448.25,451.42,446.75,16750000.0,0.73,3,2024,6,25,4.670000000000016
2024-06-26,193.61,186.92,194.8,186.26,65099999.99999999,3.9,0,2024,6,26,8.54000000000002
2024-06-26,183.88,182.63,184.51,182.48,19840000.0,-0.08,1,2024,6,26,2.030000000000001
2024-06-26,513.12,506.64,513.81,504.68,8880000.0,0.49,2,2024,6,26,9.129999999999939
2024-06-26,452.16,449.0,453.6,448.19,16510000.000000002,0.27,3,2024,6,26,5.410000000000025
2024-06-27,197.85,195.01,199.84,194.2,74400000.0,2.19,0,2024,6,27,5.640000000000015
2024-06-27,185.41,184.18,186.05,184.02,18850000.0,0.83,1,2024,6,27,2.030000000000001
2024-06-27,519.56,514.25,522.88,513.9,10120000.0,1.26,2,2024,6,27,8.980000000000018
2024-06-27,452.85,452.17,456.17,451.77,14810000.0,0.15,3,2024,6,27,4.400000000000034
2024-06-28,193.25,197.73,198.85,192.5,76930000.0,-2.32,0,2024,6,28,6.349999999999994
2024-06-28,182.15,184.32,185.13,181.96,29160000.0,-1.76,1,2024,6,28,3.1699999999999875
2024-06-28,504.22,517.15,521.88,503.84,15860000.0,-2.95,2,2024,6,28,18.04000000000002
2024-06-28,446.95,453.07,455.38,446.41,28360000.0,-1.3,3,2024,6,28,8.96999999999997
2024-07-01,197.2,193.49,198.3,192.82,41190000.0,2.04,0,2024,7,1,5.480000000000018
2024-07-01,182.99,183.03,183.88,181.3,16010000.000000002,0.46,1,2024,7,1,2.579999999999984
2024-07-01,504.68,504.95,506.58,493.17,10330000.0,0.09,2,2024,7,1,13.409999999999968
2024-07-01,456.73,448.66,457.37,445.66,17660000.0,2.19,3,2024,7,1,11.70999999999998
2024-07-02,200.0,197.28,200.43,195.93,45600000.0,1.42,0,2024,7,2,4.5
2024-07-02,185.24,182.05,185.57,181.56,17370000.0,1.23,1,2024,7,2,4.009999999999991
2024-07-02,509.5,500.76,510.5,499.45,7740000.0,0.96,2,2024,7,2,11.050000000000011
2024-07-02,459.28,453.2,459.59,453.11,13980000.0,0.56,3,2024,7,2,6.479999999999961
2024-07-03,197.59,199.94,200.03,196.76,31600000.0,-1.21,0,2024,7,3,3.2700000000000102
2024-07-03,185.82,184.85,186.09,184.0,10240000.0,0.31,1,2024,7,3,2.0900000000000034
2024-07-03,509.96,506.37,511.28,506.02,6010000.0,0.09,2,2024,7,3,5.259999999999991
2024-07-03,460.77,458.19,461.02,457.88,9930000.0,0.32,3,2024,7,3,3.1399999999999864
2024-07-05,200.0,198.65,200.55,198.17,39860000.0,1.22,0,2024,7,5,2.380000000000024
2024-07-05,190.6,185.85,190.86,185.8,20970000.0,2.57,1,2024,7,5,5.060000000000002
2024-07-05,539.91,511.6,540.87,511.6,21350000.0,5.87,2,2024,7,5,29.269999999999982
2024-07-05,467.56,459.61,468.35,458.96,16000000.0,1.47,3,2024,7,5,9.390000000000043
2024-07-08,199.29,200.04,201.2,197.96,34770000.0,-0.36,0,2024,7,8,3.2399999999999807
2024-07-08,189.03,189.9,190.17,187.78,21040000.0,-0.82,1,2024,7,8,2.3899999999999864
2024-07-08,529.32,542.35,542.81,526.65,14920000.0,-1.96,2,2024,7,8,16.159999999999968
2024-07-08,466.24,466.55,467.7,464.46,12960000.0,-0.28,3,2024,7,8,3.240000000000009
2024-07-09,199.34,199.4,200.57,199.04,32759999.999999996,0.03,0,2024,7,9,1.5300000000000011
2024-07-09,188.98,190.31,191.36,188.72,15140000.0,-0.03,1,2024,7,9,2.640000000000015
2024-07-09,530.0,533.75,537.48,528.19,8770000.0,0.13,2,2024,7,9,9.289999999999964
2024-07-09,459.54,467.0,467.33,458.0,17230000.0,-1.44,3,2024,7,9,9.329999999999984
2024-07-10,199.79,199.99,200.11,197.69,32880000.000000004,0.23,0,2024,7,10,2.420000000000016
2024-07-10,191.18,189.15,191.75,189.03,15950000.0,1.16,1,2024,7,10,2.719999999999999
2024-07-10,534.69,530.79,538.88,528.36,10980000.0,0.88,2,2024,7,10,10.519999999999982
2024-07-10,466.25,461.22,466.46,458.86,18200000.0,1.46,3,2024,7,10,7.599999999999966
2024-07-11,195.05,200.09,200.27,192.86,44570000.0,-2.37,0,2024,7,11,7.409999999999997
2024-07-11,185.57,189.85,190.86,185.08,25630000.0,-2.93,1,2024,7,11,5.780000000000001
2024-07-11,512.7,530.89,535.46,508.37,16460000.0,-4.11,2,2024,7,11,27.090000000000032
2024-07-11,454.7,462.98,464.78,451.55,23110000.0,-2.48,3,2024,7,11,13.229999999999961
2024-07-12,194.49,194.8,196.47,193.83,30600000.0,-0.29,0,2024,7,12,2.6399999999999864
2024-07-12,185.07,185.08,187.11,184.49,22900000.0,-0.27,1,2024,7,12,2.6200000000000045
2024-07-12,498.87,497.76,508.09,494.23,19750000.0,-2.7,2,2024,7,12,13.859999999999957
2024-07-12,453.55,454.33,456.36,450.64,16320000.0,-0.25,3,2024,7,12,5.720000000000027
2024-07-15,192.72,194.56,196.19,190.83,40680000.0,-0.91,0,2024,7,15,5.359999999999985
