"Date","Price","Open","High","Low","Vol.","Change %"
"06/20/2025","477.40","482.23","483.46","476.87","37.58M","-0.59%"
"06/18/2025","480.24","478.00","481.00","474.46","17.53M","0.46%"
"06/17/2025","478.04","475.39","478.74","474.08","15.41M","-0.23%"
"06/16/2025","479.14","475.21","480.69","475.00","15.63M","0.88%"
"06/13/2025","474.96","476.41","479.18","472.76","16.81M","-0.82%"
"06/12/2025","478.87","475.02","480.42","473.52","18.95M","1.32%"
"06/11/2025","472.62","470.02","475.47","469.65","16.40M","0.36%"
"06/10/2025","470.92","471.18","472.80","466.96","15.38M","-0.39%"
"06/09/2025","472.75","469.70","473.43","468.62","16.47M","0.50%"
"06/06/2025","470.38","470.08","473.33","468.78","15.29M","0.58%"
"06/05/2025","467.68","464.95","469.65","464.03","20.15M","0.82%"
"06/04/2025","463.87","464.00","465.69","463.02","14.16M","0.19%"
"06/03/2025","462.97","461.47","464.14","460.86","15.74M","0.22%"
"06/02/2025","461.97","457.14","462.11","456.89","16.63M","0.35%"
"05/30/2025","460.36","459.71","461.68","455.54","34.77M","0.37%"
"05/29/2025","458.68","461.55","461.72","455.31","13.98M","0.29%"
"05/28/2025","457.36","461.22","462.52","456.93","17.09M","-0.72%"
"05/27/2025","460.69","456.48","460.95","456.11","20.97M","2.33%"
"05/23/2025","450.18","449.98","453.69","448.91","16.88M","-1.03%"
"05/22/2025","454.86","454.95","460.25","453.90","18.03M","0.51%"
"05/21/2025","452.57","454.57","457.78","451.81","19.22M","-1.22%"
"05/20/2025","458.17","455.59","458.34","454.32","15.44M","-0.15%"
"05/19/2025","458.87","450.88","459.58","450.80","21.34M","1.01%"
"05/16/2025","454.27","452.05","454.36","448.73","23.85M","0.25%"
"05/15/2025","453.13","450.77","456.19","450.43","21.99M","0.04%"
"05/14/2025","452.94","448.14","453.90","448.14","19.90M","0.85%"
"05/13/2025","449.14","447.78","450.67","445.36","23.62M","-0.03%"
"05/12/2025","449.26","445.94","449.37","439.78","22.82M","2.40%"
"05/09/2025","438.73","440.00","440.74","435.88","15.32M","0.13%"
"05/08/2025","438.17","437.93","443.67","435.66","23.49M","1.11%"
"05/07/2025","433.35","433.84","438.12","431.11","23.31M","0.01%"
"05/06/2025","433.31","432.20","437.73","431.17","15.10M","-0.66%"
"05/05/2025","436.17","432.87","439.50","432.11","20.14M","0.20%"
"05/02/2025","435.28","431.74","439.44","429.98","30.76M","2.32%"
"05/01/2025","425.40","431.11","436.99","424.90","58.94M","7.63%"
"04/30/2025","395.26","390.30","396.66","384.44","36.46M","0.31%"
"04/29/2025","394.04","391.30","395.10","390.38","14.97M","0.74%"
"04/28/2025","391.16","391.95","392.74","386.64","16.58M","-0.18%"
"04/25/2025","391.85","387.00","392.16","384.60","18.97M","1.17%"
"04/24/2025","387.30","375.70","388.45","375.19","22.23M","3.45%"
"04/23/2025","374.39","376.06","380.39","373.02","20.55M","2.06%"
"04/22/2025","366.82","363.38","367.77","359.86","19.48M","2.14%"
"04/21/2025","359.12","362.82","364.48","355.67","20.81M","-2.35%"
"04/17/2025","367.78","373.74","374.32","366.89","21.12M","-1.03%"
"04/16/2025","371.61","380.67","381.61","368.00","21.97M","-3.66%"
"04/15/2025","385.73","388.51","391.89","384.16","17.20M","-0.54%"
"04/14/2025","387.81","393.22","394.65","384.21","19.25M","-0.16%"
"04/11/2025","388.45","380.64","390.05","378.89","23.84M","1.86%"
"04/10/2025","381.35","382.06","383.90","367.80","38.02M","-2.34%"
"04/09/2025","390.49","353.54","393.23","353.10","50.20M","10.13%"
"04/08/2025","354.56","368.26","373.65","350.25","35.87M","-0.92%"
"04/07/2025","357.86","350.88","371.00","344.79","50.43M","-0.55%"
"04/04/2025","359.84","364.13","374.59","359.48","49.21M","-3.56%"
"04/03/2025","373.11","374.79","377.48","369.35","30.20M","-2.36%"
"04/02/2025","382.14","377.96","385.08","376.62","16.09M","-0.01%"
"04/01/2025","382.19","374.65","382.85","373.23","19.69M","1.81%"
"03/31/2025","375.39","372.54","377.07","367.24","35.18M","-0.90%"
"03/28/2025","378.80","388.08","389.13","376.93","21.63M","-3.02%"
"03/27/2025","390.58","390.13","392.24","387.39","13.77M","0.16%"
"03/26/2025","389.97","395.00","395.31","388.57","16.13M","-1.31%"
"03/25/2025","395.16","393.92","396.36","392.64","15.77M","0.53%"
"03/24/2025","393.08","395.40","395.40","389.81","21.00M","0.47%"
"03/21/2025","391.26","383.21","391.74","382.80","39.68M","1.14%"
"03/20/2025","386.84","385.73","391.79","383.28","18.47M","-0.25%"
"03/19/2025","387.82","385.52","389.68","384.00","19.19M","1.12%"
"03/18/2025","383.52","387.07","387.37","381.10","19.49M","-1.33%"
"03/17/2025","388.70","386.70","392.70","385.57","22.47M","0.04%"
"03/14/2025","388.56","379.77","390.23","379.51","19.95M","2.58%"
"03/13/2025","378.77","383.15","385.32","377.45","20.47M","-1.17%"
"03/12/2025","383.27","382.95","385.22","378.95","24.25M","0.74%"
"03/11/2025","380.45","379.00","386.00","376.91","30.38M","0.08%"
"03/10/2025","380.16","385.84","386.40","377.22","32.84M","-3.34%"
"03/07/2025","393.31","392.32","394.80","385.54","22.03M","-0.90%"
"03/06/2025","396.89","394.28","402.15","392.68","23.30M","-1.03%"
"03/05/2025","401.02","389.34","401.67","388.81","23.43M","3.19%"
"03/04/2025","388.61","383.40","392.58","381.00","29.34M","0.03%"
"03/03/2025","388.49","398.82","398.82","386.15","23.01M","-2.14%"
"02/28/2025","396.99","392.65","397.63","386.57","32.85M","1.14%"
"02/27/2025","392.53","401.27","405.74","392.17","21.13M","-1.80%"
"02/26/2025","399.73","398.01","403.60","394.24","19.62M","0.46%"
"02/25/2025","397.90","401.10","401.92","396.70","29.39M","-1.51%"
"02/24/2025","404.00","408.51","409.37","399.32","26.44M","-1.03%"
"02/21/2025","408.21","417.33","418.05","407.89","27.52M","-1.90%"
"02/20/2025","416.13","415.29","419.31","412.54","23.51M","0.33%"
"02/19/2025","414.77","407.88","415.49","407.65","24.11M","1.25%"
"02/18/2025","409.64","408.00","410.60","406.50","21.42M","0.30%"
"02/14/2025","408.43","407.79","408.91","405.88","22.76M","-0.51%"
"02/13/2025","410.54","407.00","411.00","406.36","23.89M","0.37%"
"02/12/2025","409.04","407.21","410.75","404.37","19.12M","-0.58%"
"02/11/2025","411.44","409.64","412.49","409.30","18.14M","-0.19%"
"02/10/2025","412.22","413.71","415.46","410.92","20.82M","0.60%"
"02/07/2025","409.75","416.48","418.65","408.10","22.89M","-1.46%"
"02/06/2025","415.82","414.00","418.20","414.00","16.31M","0.61%"
"02/05/2025","413.29","412.35","413.83","410.40","16.34M","0.22%"
"02/04/2025","412.37","412.68","413.92","409.74","20.53M","0.35%"
"02/03/2025","410.92","411.60","415.41","408.66","25.68M","-1.00%"
"01/31/2025","415.06","418.98","420.69","414.91","34.22M","0.02%"
"01/30/2025","414.99","418.77","422.86","413.16","54.59M","-6.18%"
"01/29/2025","442.33","446.69","446.88","440.40","23.58M","-1.09%"
"01/28/2025","447.20","434.60","448.38","431.38","23.49M","2.91%"
"01/27/2025","434.56","424.01","435.20","423.50","35.65M","-2.14%"
"01/24/2025","444.06","445.16","446.65","441.40","15.55M","-0.59%"
"01/23/2025","446.71","442.00","446.75","441.50","18.39M","0.11%"
"01/22/2025","446.20","437.56","447.27","436.00","27.80M","4.13%"
"01/21/2025","428.50","430.20","430.90","425.60","26.09M","-0.12%"
"01/17/2025","429.03","434.08","434.48","428.17","26.20M","1.05%"
"01/16/2025","424.58","428.70","429.49","424.39","15.30M","-0.41%"
